Stock Code,Code name,Current time,Price,Full Date
MRNA,"Moderna, Inc. (MRNA)",13:29:44,286.43,2021-07-18
MSFT,Microsoft Corporation (MSFT),13:29:47,280.75,2021-07-18
AAPL,Apple Inc. (AAPL),13:29:48,146.39,2021-07-18
NKE,"NIKE, Inc. (NKE)",13:29:51,159.85,2021-07-18
SQ,"Square, Inc. (SQ)",13:29:55,237.52,2021-07-18
CRM,"salesforce.com, inc. (CRM)",13:29:57,238.43,2021-07-18
V,Visa Inc. (V),13:29:59,248.12,2021-07-18
WMT,Walmart Inc. (WMT),13:30:00,141.56,2021-07-18
FB,"Facebook, Inc. (FB)",13:30:02,341.16,2021-07-18
TSLA,"Tesla, Inc. (TSLA)",13:30:04,644.22,2021-07-18
NVDA,NVIDIA Corporation (NVDA),13:30:05,726.44,2021-07-18
